kod-av,rozmiar,producent,ean,seria,styl,typ lampy,materiał,kolor ,źródło światła,model żarówki,moc źródła światła ,oprawa żarówki,barwa światła,ilość źródeł światła,napięcie robocze / sieciowe,średnica abażuru,szerokość całkowita,wysokość całkowita,możliwość ściemniania,ściemniacz,stopień ochrony,klasa ochrony,klasa efektywności energetycznej,strumień świetlny,żarówka w komplecie,cct,regulowana wysokość zawieszenia,wysokość abażuru,wysokość opakowania,szerokość opakowania ,szerokość,wysokość,waga brutto,średnica całkowita,ceny promocyjne,odległość od ściany,wysokość (cm),wysokość zawieszenia,dlugosc opakowania ,kształt podsufitki,szerokość abażuru,długość opakowania,średnica ,alt - ikona produktu,alt - zdjęcia w galerii produktu,podsufitka,grubość abażuru,model,szerokość (cm),kierunek padania światła,kierunek wycięcia,rozmiar rozety,waga gabarytowa eu,średnica podsufitki,wysokość podsufitki,średnica podstawy,długość przewodu ,sposób podłączenia,wysokość minimalna,waga gabarytowa pl,kolor żarówki,żywotność ,waga,kąt wiązki światła,czas rozświetlenia produktu,warunki pracy żarówki,promieniowanie uv,drganie światła,średnica rozety ,kompatybilna z typem ściemniacza,kod_producenta,głębokość (cm),wysokość siedziska (cm),wysokość podłokietników (cm),wymiary,materiał klosza,materiał dodatkowy,szerokość [cm],wysokość [cm],głębokość [cm],typ źródła światła,moc maksymalna,strumień świetlny [lumen],barwa światła [kelvin],średnica klosza [cm],kolor klosza,długość przewodu [cm],materiał przewodu,regulacja wysokości,wysokość minimalna [cm],stopień ochrony ip,materiał podsufitki,szerokość podsufitki [cm],długość podsufitki [cm],produkt złożony,średnica podsufitki [cm],wysokość podsufitki [cm],kolor podsufitki,średnica [cm],kolor uzupełniający,wysokość klosza [cm],szerokość klosza [cm],dostępność kolorystyczna,cechy,zmiana temperatury barwowej,wysokość podstawy,długość produktu (cm),szerokość produktu (cm),wysokość produktu (cm),długość paczki (cm),szerokość paczki (cm),wysokość paczki (cm),odległość od ściany [cm],szerokość podstawy [cm],przeznaczenie/ zastosowanie,wymiary abażuru,materiał siedziska,wysokość siedzenia,głębokość całkowita,materiał nóg,podłokietniki,sztaplowane,przeznaczenie,maksymalne obciążenie,do samodzielnego montażu
LA035/CO3_chrom,uniwersalny,ALTAVOLA DESIGN,5902249032307,NEW YORK LOFT,Industrial,żyrandol,Szkło,chrom,żarówka,BF-19,40W,E-27,delikatnie ciepła,3,230V / 230V,20 cm,,150 cm,tak,nie zawiera,IP 20,II,D,,,,tak,27 cm,,,,,,40 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA050/P,uniwersalny,ALTAVOLA DESIGN,5902249032000,Magic Space,,lampa wisząca,żelazo,Czarny,żarówka,BF-19,40W,E-27,delikatnie ciepła,1,230V / 230V,20 cm,,150 cm,tak,nie zawiera,IP 20,II,,,nie,,tak,32 cm,,,,,,,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA048/P,uniwersalny,ALTAVOLA DESIGN,5902249032024,Magic Space,,lampa wisząca,żelazo,Czarny,żarówka,BF-19,40W,E-27,delikatnie ciepła,1,230V / 230V,30 cm,,150 cm,tak,nie zawiera,IP 20,II,,,nie,,tak,34 cm,,,,,,,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA047/P,uniwersalny,ALTAVOLA DESIGN,5902249032031,Modern Design,,lampa wisząca,żelazo,Czarny,żarówka,BF-19,40W,E-27,,1,230V / 230V,,,133 cm,tak,nie zawiera,IP 20,II,,,nie,,tak,24 cm,26 cm,14 cm,,,,,,,,,,,13 cm,14 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA046/P,uniwersalny,ALTAVOLA DESIGN,5902249032048,Modern Design,,lampa wisząca,żelazo,Biały,żarówka,BF-19,40W,E-27,,1,230V / 230V,,,130 cm,tak,nie zawiera,IP 20,II,,,nie,,tak,22 cm,17 cm,17 cm,,,,,,,,,,,16 cm,17 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA045/P_white-orange,uniwersalny,ALTAVOLA DESIGN,5902249032154,Origami Design,,lampa wisząca,żelazo,Biały,żarówka,BF-19,40W,E-27,,1,230V / 230V,32 cm,,143 cm,tak,nie zawiera,IP 20,II,,,nie,,tak,38 cm,40 cm,30 cm,,,,,,,,,,,,31 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA045/P_black-yellow,uniwersalny,ALTAVOLA DESIGN,5902249032161,Origami Design,,lampa wisząca,żelazo,Czarny,żarówka,BF-19,40W,E-27,,1,230V / 230V,32 cm,,143 cm,tak,nie zawiera,IP 20,II,,,nie,,tak,38 cm,40 cm,30 cm,,,,,,,,,31 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA045/P_bronze,uniwersalny,ALTAVOLA DESIGN,5902249032185,Origami Design,,lampa wisząca,żelazo,chrom,żarówka,BF-19,40W,E-27,,1,230V / 230V,32 cm,,143 cm,tak,nie zawiera,IP 20,II,,,nie,,tak,38 cm,40 cm,30 cm,,,,,,,,,,,,31 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA044/P_beige,uniwersalny,ALTAVOLA DESIGN,5902249032192,Origami Design,,lampa wisząca,żelazo,Biały,żarówka,BF-19,40W,E-27,,1,230V / 230V,13 cm,,140 cm,tak,nie zawiera,IP 20,II,,,nie,,tak,35 cm,38 cm,14 cm,,,,,,,,,14 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA044/P_black-yellow,uniwersalny,ALTAVOLA DESIGN,5902249032208,Origami Design,,lampa wisząca,żelazo,Czarny,żarówka,BF-19,40W,E-27,,1,230V / 230V,13 cm,,140 cm,tak,nie zawiera,IP 20,II,,,nie,,tak,35 cm,38 cm,14 cm,,,,,,,,,14 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
