Article number;EAN;Description;Stock;ETA-code;ETA confirmed;Article status
05540/01/31;5411212051400;Lucide FARRIS - Table lamp - 1xE27 - White;56;;;
05540/01/33;5411212051530;Lucide FARRIS - Table lamp - 1xE27 - Green;0;01.06.2022;;New Phase 1
05541/01/30;5411212051448;Lucide SLENDER - Table lamp - 1xE27 - Black;94;;;
05627/01/30;5411212051097;Lucide WAYLON - Desk lamp - 1xE27 - Black;37;14.07.2022;;
05728/01/30;5411212051172;Lucide PEPIJN - Floor lamp - Ø 23 cm - 1xE14 - 3 StepDim - Black;46;01.06.2022;;
05728/03/30;5411212051189;Lucide PEPIJN - Floor lamp - 3xE14 - 3 StepDim - Black;127;;;
05729/01/30;5411212051196;Lucide JERICHO - Floor lamp - Ø 38 cm - 1xE27 - Black;92;;;
05730/01/30;5411212051202;Lucide ALVARO - Floor lamp - 1xE27 - Black;71;01.06.2022;;
05732/02/30;5411212051264;Lucide LATTICE - Floor lamp - 2xE27 - Black;29;12.08.2022;;
05733/02/30;5411212051493;Lucide CALIXT - Floor lamp - 2xE27 - Black;51;;;
05741/01/30;5411212051455;Lucide SLENDER - Floor lamp - 1xE27 - Black;5;;;
05910/05/30;5411212050861;Lucide CONCRI-LED - Ceiling spotlight - Ø 9 cm - LED Dim. - GU10 - 1x5W 3000K - Black;0;01.06.2022;08.04.2022;
05910/10/30;5411212050878;Lucide CONCRI-LED - Ceiling spotlight - LED Dim. - GU10 - 2x5W 3000K - Black;50;;;
05922/01/30;5411212050960;Lucide CICLETA - Ceiling spotlight - 1xGU10 - Black;128;;;
05922/01/36;5411212050977;Lucide CICLETA - Ceiling spotlight - 1xGU10 - Grey;0;;;Liquidation
05922/02/30;5411212050984;Lucide CICLETA - Ceiling spotlight - 2xGU10 - Black;147;;;
05922/02/36;5411212050991;Lucide CICLETA - Ceiling spotlight - 2xGU10 - Grey;0;;;Liquidation
05922/03/30;5411212051004;Lucide CICLETA - Ceiling spotlight - 3xGU10 - Black;92;;;
05922/03/36;5411212051011;Lucide CICLETA - Ceiling spotlight - 3xGU10 - Grey;0;;;Liquidation
06218/01/30;5411212061287;Lucide SEBO - Bedside lamp - 1xE27 - Black;104;30.06.2022;;
06218/01/31;5411212061294;Lucide SEBO - Bedside lamp - 1xE27 - White;68;30.06.2022;;
06417/42/30;5411212061256;Lucide ALEGRO - Pendant light - Ø 42 cm - 1xE27 - Black;64;;;
06496/37/17;5411212061058;Lucide RICKY - Pendant light - 1xE27 - Copper;0;;;Liquidation
06502/81/31;5411212060839;Lucide NORDIC - Table lamp - 1xE14 - White;56;20.07.2022;;
06517/01/30;5411212061263;Lucide ALEGRO - Table lamp - Ø 32 cm - 1xE14 - Black;88;;;
06717/01/30;5411212061270;Lucide ALEGRO - Floor lamp - Ø 42 cm - 1xE27 - Black;39;;;
06800/03/31;5411212061201;Lucide JOE - Table lamp Outdoor - Ø 14,5 cm - LED Dim. - 1x3W 2800K - IP44 - White;300;;;
06801/01/30;5411212061355;Lucide FJARA - Table lamp Outdoor - Ø 17,5 cm - LED Dim. - 1x0,3W 3200K - IP44 - Black;291;;;
06801/01/33;5411212061362;Lucide FJARA - Table lamp Outdoor - Ø 17,5 cm - LED Dim. - 1x0,3W 3200K - IP44 - Green;154;;;
06801/01/43;5411212061379;Lucide FJARA - Table lamp Outdoor - Ø 17,5 cm - LED Dim. - 1x0,3W 3200K - IP44 - Brown;118;;;
06801/01/97;5411212061386;Lucide FJARA - Table lamp Outdoor - Ø 17,5 cm - LED Dim. - 1x0,3W 3200K - IP44 - Rust Brown;198;;;
06802/01/30;5411212061416;Lucide LITTLE JOE - Table lamp Outdoor - Ø 10 cm - LED Dim. - 1x3W 3200K - IP44 - 3 StepDim - White;0;10.06.2022;;
06802/01/33;5411212061423;Lucide LITTLE JOE - Table lamp Outdoor - Ø 10 cm - LED Dim. - 1x3W 3200K - IP44 - 3 StepDim - White;43;10.06.2022;;
06802/01/43;5411212061430;Lucide LITTLE JOE - Table lamp Outdoor - Ø 10 cm - LED Dim. - 1x3W 3200K - IP44 - 3 StepDim - White;45;10.06.2022;;
07105/18/31;5411212071767;Lucide TENDO-LED - Flush ceiling light - Ø 22 cm - LED - 1x17W 3000K - White;270;10.07.2022;;
07106/18/31;5411212071774;Lucide TENDO-LED - Flush ceiling light - LED - 1x17W 3000K - White;31;10.07.2022;29.04.2022;
07903/09/99;5411212071798;Lucide TENDO-LED - Recessed spotlight - 1x9W 3000K/6000K - White;392;;;
08109/01/30;5411212082299;Lucide LEX - Flush ceiling light - Ø 25 cm - 1xE27 - Black;1156;28.07.2022;;
08109/01/31;5411212082305;Lucide LEX - Flush ceiling light - Ø 25 cm - 1xE27 - White;446;;;
08109/02/30;5411212082312;Lucide LEX - Flush ceiling light - Ø 33 cm - 2xE27 - Black;362;;;
08109/02/31;5411212082329;Lucide LEX - Flush ceiling light - Ø 33 cm - 2xE27 - White;56;15.07.2022;;
08124/01/30;5411212082886;Lucide ARTHUR - Flush ceiling light - 1xE27 - Black;84;15.07.2022;;
08127/03/35;5411212082916;Lucide POLA - Flush ceiling light Children - 3xE27 - Blue;56;;;
08127/03/66;5411212082923;Lucide POLA - Flush ceiling light Children - 3xE27 - Pink;57;;;
08208/01/30;5411212082824;Lucide FIX WALL - Wall light - 1xE27 - Black;632;;;
08208/01/31;5411212082831;Lucide FIX WALL - Wall light - 1xE27 - White;973;;;
