"EAN code";"article number";"availability";"next expected arrival"
"5998250353869";"5386";"available";""
"5998250353876";"5387";"available";""
"5998250353883";"5388";"available";""
"5998250353890";"5389";"available";""
"5998250353906";"5390";"available";""
"5998250353913";"5391";"3";""
"5998250353920";"5392";"available";""
"5998250353937";"5393";"available";""
"5998250353944";"5394";"0";"2022-02-28"
"5998250353951";"5395";"0";"2022-02-28"
"5998250353968";"5396";"available";""
"5998250353975";"5397";"available";"2022-02-21"
"5998250353982";"5398";"available";"2022-02-21"
"5998250353999";"5399";"available";"2022-02-21"
"5998250354002";"5400";"available";"2022-02-21"
"5998250354019";"5401";"available";""
"5998250354071";"5407";"available";""
"5998250354095";"5409";"available";"2022-07-20"
"5998250354101";"5410";"available";"2022-07-20"
"5998250354118";"5411";"available";""
"5998250354170";"5417";"available";""
"5998250354217";"5421";"available";""
"5998250354279";"5427";"available";""
"5998250354293";"5429";"available";""
"5998250354309";"5430";"available";"2022-04-20"
"5998250354354";"5435";"0";"2022-03-03"
"5998250354361";"5436";"0";"2022-03-03"
"5998250354378";"5437";"available";""
"5998250354385";"5438";"available";""
"5998250354392";"5439";"available";""
"5998250354408";"5440";"available";""
"5998250354453";"5445";"available";"2022-03-03"
"5998250354460";"5446";"available";"2022-03-03"
"5998250354477";"5447";"available";"2022-03-16"
"5998250354484";"5448";"available";""
"5998250354491";"5449";"available";"2022-06-20"
"5998250354507";"5450";"available";""
"5998250354552";"5455";"available";""
"5998250354569";"5456";"available";""
"5998250354576";"5457";"available";""
"5998250354583";"5458";"available";""
"5998250354590";"5459";"available";""
"5998250354606";"5460";"available";""
"5998250354699";"5469";"available";"2022-08-25"
"5998250354705";"5470";"available";"2022-08-25"
"5998250354798";"5479";"available";""
"5998250354804";"5480";"available";""
"5998250354897";"5489";"available";"2022-02-21"
"5998250354903";"5490";"available";"2022-02-21"
"5998250354910";"5491";"available";"2022-07-20"
"5998250354927";"5492";"available";"2022-07-20"
"5998250354934";"5493";"1";""
"5998250354941";"5494";"0";""
"5998250354958";"5495";"0";""
"5998250354965";"5496";"0";""
"5998250354972";"5497";"available";"2022-05-20"
"5998250354989";"5498";"available";"2022-05-20"
"5998250354996";"5499";"available";""
"5998250355009";"5500";"available";""
"5998250355092";"5509";"available";"2022-02-03"
"5998250355108";"5510";"available";"2022-02-03"
"5998250355320";"5532";"available";"2022-02-21"
"5998250355337";"5533";"available";"2022-02-21"
"5998250355344";"5534";"available";"2022-02-21"
"5998250355382";"5538";"0";""
"5998250355399";"5539";"available";"2022-08-25"
"5998250355405";"5540";"available";""
"5998250355467";"5546";"available";"2022-02-21"
"5998250355474";"5547";"available";"2022-02-21"
"5998250355481";"5548";"available";"2022-05-20"
"5998250355498";"5549";"available";"2022-02-21"
"5998250355504";"5550";"available";"2022-06-20"
"5998250355511";"5551";"available";"2022-06-20"
"5998250355528";"5552";"available";"2022-06-20"
"5998250355535";"5553";"available";"2022-06-20"
