Supplier ID|Item Number|Qty On Hand|Qty Backordered|Qty On Order|Item Next Availability Date|Item Discontinued|Item Description
MLG|703841|0|0|0||0|ISABERG Table Decoration 71cm Copper
MLG|703842|0|0|0||0|ISABERG Table Decoration 71cm Golden
MLG|703846|0|0|0||0|EKHOLM Pendant Deco 28cm E14 Golden
MLG|703852|0|0|0||0|BERG Floor Decoration Star 80 cm Grey IP44
MLG|703853|0|0|0||0|VIDAR Table Decoration 5L Black
MLG|703855|0|0|0||0|STUBB Candlestick 7L Nature Rough
MLG|703857|63|0|0||0|RUNDA Lightchain 10L LED White
MLG|703858|0|0|0||0|LEAF Lightchain 10L LED Copper
MLG|703859|62|0|0||0|LEAF Lightchain 10L Golden
MLG|703860|431|0|0||0|KUPOL Table Decoration 26cm Black/Clear
MLG|703861|0|0|0||0|KUPOL Table Decoration 16cm Black/Clear
MLG|703862|416|0|0||0|KLOCKA  Lightchain 10L  White
MLG|703863|1509|0|0||0|MOCKA Lightchain 10L  White
MLG|703864|0|0|0||0|LJUSA Pendant Decoration 20 cm Clearglass
MLG|703865|0|0|0||0|ROFFE Wooden Candle 5L Brown Nature 
MLG|703866|0|0|0||0|TJUSA Pendant Deco Star  42cm E14 Black
MLG|703867|206|0|0||0|DUVA Table Decoration 2L Grey/White
MLG|703873|0|0|0||0|JOSEFINE Pendant Star Slim 75cm Yellow
MLG|703874|0|0|0||0|HARPO Pendant Star 75cm White
MLG|703875|0|0|0||0|DUVA Pendant Star slim 75cm White
MLG|703876|0|0|0||0|SOLVALLA Pendant Star slim 75cm White
MLG|703877|2377|0|0||0|MATRIX Pendant Star Slim 75cm Bronze
MLG|703879|0|0|0||0|ERNA Pendant Star 75cm Grey
MLG|703881|6|0|0||0|PRINCE Table Decoration 39cm White
MLG|703882|198|0|0||0|PRINCE Table Decoration  Tree 47cm  White
MLG|703887|0|0|0||0|KVIST Pendant Decoration 40cm Brown
MLG|703888|0|0|0||0|GETINGE Candle Light Floor 2LED  Copper
MLG|703889|0|0|0||0|GETINGE Floor Decoration 2LED Golden
MLG|703891|287|0|0||0|VIST Base item for 703792  IP44
MLG|703894|0|0|0||0|MALIN Table Decoration Angel 53cm Grey
MLG|703895|0|0|0||0|MALIN Floor Decoration Angel 85cm Grey
MLG|703896|0|0|0||0|MALIN Table Decoration Star 51cm  Grey
MLG|703897|0|0|0||0|MALIN Floor Decoration Star 83cm  Grey
MLG|703900|0|0|0||0|HAGABERG Table Decoration 45cm Gold
MLG|703901|0|0|0||0|HAGABERG Table Decoration 45cm  Copper
MLG|703903|0|0|0||0|ELISE Pendant Decoration 24 cm  Golden
