"Item number","Product name (English)",Category,"Web category",Colli,box,"Country of origin","Related products","Last updated",Status,Inventory,"Inventory incl. future deliveries","Date available","Must be assembled","Master box length (cm)","Master box width (cm)","Master box height (cm)","Product box length (cm)","Product box width (cm)","Product box height (cm)",CBM,"CBM - Product","Suitable for package shipment","Wholesale price (EUR)","Retail price (EUR)",EAN,Materials,FSC,Colour,Size,"Net weight (g)","Gross weight (g)","Wattage (W)",Socket,"CE approved","CCC approved","Longevity (hrs)",Kelvin,"Cable length (cm)",Dimmable,"Incl. Bulb",Battery,"Image URL",Packshots01,Packshots02,Packshots03,Packshots04,Packshots05,Packshots06,Packshots07,Packshots08,Packshots09,Packshots10,Close-ups01,Close-ups02,Close-ups03,Close-ups04,Close-ups05,Close-ups06,Close-ups07,Close-ups08,Close-ups09,Close-ups10,Styleshots01,Styleshots02,Styleshots03,Styleshots04,Styleshots05,Styleshots06,Styleshots07,Styleshots08,Styleshots09,Styleshots10,"Plug type",Connection,"Link - CE certificate",Diameter
991129,"Knob, metal, green","General,Racks","Hooks & coat racks - Hooks",12,6,China,,"31.01.2022 23:05","To be discontinued",524,524,31.01.2022,No,18,14,12,18,14,12,"0,003","0,001",Yes,"4,30","12,00",5712772073254,Iron,No,Green,4xh7cm,130,143,0,,No,No,0,0,0,No,No,,https://images.hubsch-interior.com/images/991129.jpg,https://images.hubsch-interior.com/images/991129.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
991201,"Sphere Table Lamp","General,Glass,Lighting","Lighting - Table lamps",4,1,China,,"31.01.2022 23:05",Active,0,348,19.04.2022,Yes,33,33,41,33,33,41,"0,045","0,045",Yes,"71,00","180,00",5712772102077,Glass,No,"Frosted,Green","Ø17xh33cm, E27",2.000,2.000,15,E27,Yes,Yes,0,0,200,No,No,,https://images.hubsch-interior.com/images/991201.jpg,https://images.hubsch-interior.com/images/991201.jpg,,,,,,,,,,,,,,,,,,,,https://images.hubsch-interior.com/images/hubsch_ss21_043.jpg,https://images.hubsch-interior.com/images/hubsch_aw21_131.jpg,https://images.hubsch-interior.com/images/hubsch_aw21_057.jpg,https://images.hubsch-interior.com/images/hubsch_aw22_068.jpg,,,,,,,C,"With wire/plug",https://pim.hubsch-interior.com/ce/CE991201.pdf,17
991202,"Ripple Ceiling Lamp Small","General,Glass,Lighting,Pendants","Lighting - Ceiling lights",4,4,China,,"31.01.2022 23:05",Active,0,561,04.05.2022,Yes,47,47,365,35,35,35,"0,806","0,202",Yes,"47,00","120,00",5712772102107,Glass,No,Textured,"ø17xh25cm, E27",1.430,1.573,15,E27,Yes,Yes,0,0,250,Yes,No,,https://images.hubsch-interior.com/images/991202.jpg,https://images.hubsch-interior.com/images/991202.jpg,,,,,,,,,,https://images.hubsch-interior.com/images/991202_ps_02.jpg,,,,,,,,,,https://images.hubsch-interior.com/images/hubsch_aw21_001.jpg,https://images.hubsch-interior.com/images/hubsch_aw21_082.jpg,https://images.hubsch-interior.com/images/hubsch_aw20_166.jpg,,,,,,,,"No plug","Direct on outlet",https://pim.hubsch-interior.com/ce/CE991202.pdf,14
991203,"Halo Wall Lamp","General,Glass,Lighting","Lighting - Wall lights",4,4,China,,"31.01.2022 23:05",Active,32,968,31.01.2022,Yes,64,32,59,30,28,30,"0,121","0,030",Yes,"53,00","140,00",5712772102190,Glass,No,Amber,"ø25xh19cm E27",1.000,1.000,15,E27,Yes,Yes,0,0,200,Yes,Yes,,https://images.hubsch-interior.com/images/991203.jpg,https://images.hubsch-interior.com/images/991203.jpg,,,,,,,,,,https://images.hubsch-interior.com/images/991203_ps_04.jpg,,,,,,,,,,https://images.hubsch-interior.com/images/hubsch_aw20_163.jpg,,,,,,,,,,C,"With wire/plug",https://pim.hubsch-interior.com/ce/CE991203.pdf,25
991204,"Sen Table Lamp","General,Lighting","Lighting - Table lamps",4,4,China,,"31.01.2022 23:05",Active,0,843,19.04.2022,Yes,59,52,39,28,24,37,"0,120","0,030",Yes,"52,00","140,00",5712772102169,Iron,No,Black,"ø24xh32cm GU10",1.000,2.000,15,GU10,Yes,Yes,0,0,200,No,Yes,,https://images.hubsch-interior.com/images/991204.jpg,https://images.hubsch-interior.com/images/991204.jpg,,,,,,,,,,,,,,,,,,,,https://images.hubsch-interior.com/images/hubsch_aw21_103.jpg,https://images.hubsch-interior.com/images/hubsch_aw20_194.jpg,https://images.hubsch-interior.com/images/hubsch_aw21_021.jpg,https://images.hubsch-interior.com/images/hubsch_aw20_151.jpg,https://images.hubsch-interior.com/images/hubsch_aw20_119.jpg,https://images.hubsch-interior.com/images/hubsch_ss21_041.jpg,,,,,C,"With wire/plug",https://pim.hubsch-interior.com/ce/CE991204.pdf,24
991205,"Shape Table Lamp Green","General,Lighting","Lighting - Table lamps",4,2,China,,"31.01.2022 23:05",Active,1046,1446,31.01.2022,Yes,71,37,45,35,35,44,"0,118","0,059",Yes,"56,00","150,00",5712772102220,Iron,No,"Dark green","ø30xh38cm, E14",1.700,1.900,15,E14,Yes,Yes,0,0,200,No,No,,https://images.hubsch-interior.com/images/991205.jpg,https://images.hubsch-interior.com/images/991205.jpg,,,,,,,,,,,,,,,,,,,,https://images.hubsch-interior.com/images/hubsch_aw22_101.jpg,https://images.hubsch-interior.com/images/hubsch_aw22_105.jpg,https://images.hubsch-interior.com/images/hubsch_ss21_001.jpg,https://images.hubsch-interior.com/images/hubsch_aw22_095.jpg,https://images.hubsch-interior.com/images/hubsch_aw20_150.jpg,https://images.hubsch-interior.com/images/hubsch_aw20_182.jpg,,,,,C,"With wire/plug",https://pim.hubsch-interior.com/ce/CE991205.pdf,30
991206,"Pirum Table Lamp","General,Glass,Lighting","Lighting - Table lamps",4,1,China,,"31.01.2022 23:05",Active,32,327,31.01.2022,Yes,35,35,49,35,35,49,"0,060","0,060",Yes,"110,00","260,00",5712772102251,Glass,No,Brown,"ø27xh42cm, E27",3.000,3.000,15,E27,Yes,Yes,0,0,200,No,No,,https://images.hubsch-interior.com/images/991206.jpg,https://images.hubsch-interior.com/images/991206.jpg,,,,,,,,,,,,,,,,,,,,https://images.hubsch-interior.com/images/hubsch_aw22_068.jpg,https://images.hubsch-interior.com/images/hubsch_aw22_068.jpg,https://images.hubsch-interior.com/images/hubsch_aw21_073.jpg,https://images.hubsch-interior.com/images/hubsch_ss21_018.jpg,https://images.hubsch-interior.com/images/hubsch_aw20_107.jpg,https://images.hubsch-interior.com/images/hubsch_aw22_067.jpg,https://images.hubsch-interior.com/images/hubsch_aw21_156.jpg,https://images.hubsch-interior.com/images/hubsch_aw20_134.jpg,,,C,"With wire/plug",https://pim.hubsch-interior.com/ce/CE991206.pdf,27
991207,"Studio Wall Lamp Black","General,Lighting","Lighting - Wall lights",4,1,China,,"31.01.2022 23:05",Active,90,390,31.01.2022,Yes,46,29,59,46,29,59,"0,079","0,079",Yes,"50,00","130,00",5712772102282,Iron,No,Black,"23x43xh56cm, E27",1.950,2.145,15,E27,Yes,Yes,0,0,200,No,No,,https://images.hubsch-interior.com/images/991207.jpg,https://images.hubsch-interior.com/images/991207.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,"With wire/plug",https://pim.hubsch-interior.com/ce/CE991207.pdf,0
991208,"Tap Wall Lamp Black","General,Lighting","Lighting - Wall lights",4,4,China,,"31.01.2022 23:05",Active,197,917,31.01.2022,Yes,48,35,36,22,16,33,"0,060","0,015",Yes,"41,00","110,00",5712772102312,Iron,No,Black,"12x29xh20com, E14",730,805,15,E14,Yes,Yes,0,0,200,No,No,,https://images.hubsch-interior.com/images/991208.jpg,https://images.hubsch-interior.com/images/991208.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,"With wire/plug",https://pim.hubsch-interior.com/ce/CE991208.pdf,0
991209,"Tap Wall Lamp Brass","General,Lighting","Lighting - Wall lights",4,4,China,,"31.01.2022 23:05",Active,116,1016,31.01.2022,Yes,48,35,36,22,16,33,"0,060","0,015",Yes,"41,00","110,00",5712772102343,Iron,No,Brass,"12x29xh20com, E14",730,805,15,E14,Yes,Yes,0,0,200,No,No,,https://images.hubsch-interior.com/images/991209.jpg,https://images.hubsch-interior.com/images/991209.jpg,,,,,,,,,,,,,,,,,,,,https://images.hubsch-interior.com/images/hubsch_aw20_155.jpg,,,,,,,,,,C,"With wire/plug",https://pim.hubsch-interior.com/ce/CE991209.pdf,0
